Dyad,Cov,SectionStartTime,SoundID,Start,End,Duration,SoundType,S_Around_Overall_Time,S_Monitor_Overall_Time,S_Keyboard_Overall_Time,S_Face_Overall_Time,S_Around_Mean,S_Monitor_Mean,S_Keyboard_Mean,S_Face_Mean,S_NoFace_Mean,S_CompOnly_Mean,S_Around_Median,S_Monitor_Median,S_Keyboard_Median,S_Face_Median,S_NoFace_Median,S_CompOnly_Median,S_Around_PopularSD,S_Monitor_PopularSD,S_Keyboard_PopularSD,S_Face_PopularSD,S_NoFace_PopularSD,S_CompOnly_PopularSD,S_Around_Frequency,S_Monitor_Frequency,S_Keyboard_Frequency,S_Face_Frequency,S_NoFace_Frequency,S_CompOnly_Frequency,S_Around_Max,S_Monitor_Max,S_Keyboard_Max,S_Face_Max,S_NoFace_Max,S_CompOnly_Max,S_Around_Min,S_Monitor_Min,S_Keyboard_Min,S_Face_Min,S_NoFace_Min,S_CompOnly_Min
77,1,3000,4,3378,3445,68,3,0.0,40.0,0.0,28.0,0.0,40.0,0.0,14.0,40.0,40.0,0.0,40.0,0.0,14.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,40.0,0.0,14.0,40.0,40.0,0.0,40.0,0.0,14.0,40.0,40.0
77,1,3000,5,3446,3652,207,1,0.0,42.0,50.0,115.0,0.0,14.0,25.0,38.333333333333336,30.666666666666668,30.666666666666668,0.0,16.0,25.0,37.0,9.0,9.0,0.0,3.5590260840104371,22.0,2.6246692913372702,34.969828265075719,34.969828265075719,0.0,3.0,2.0,3.0,3.0,3.0,0.0,17.0,47.0,42.0,80.0,80.0,0.0,9.0,3.0,36.0,3.0,3.0
77,1,3000,6,3653,3751,99,3,41.0,26.0,16.0,16.0,41.0,26.0,16.0,16.0,41.5,42.0,41.0,26.0,16.0,16.0,41.5,42.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,1.0,1.0,1.0,2.0,1.0,41.0,26.0,16.0,16.0,42.0,42.0,41.0,26.0,16.0,16.0,41.0,42.0
77,1,3000,7,3752,3786,35,1,35.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,35.0,0.0,35.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,35.0,0.0,0.0,0.0,35.0,0.0,35.0,0.0,0.0,0.0,35.0,0.0
77,1,3000,8,3787,4006,220,3,79.0,10.0,0.0,131.0,39.5,10.0,0.0,65.5,44.5,10.0,39.5,10.0,0.0,65.5,44.5,10.0,15.5,0.0,0.0,12.5,10.5,0.0,2.0,1.0,0.0,2.0,2.0,1.0,55.0,10.0,0.0,78.0,55.0,10.0,24.0,10.0,0.0,53.0,34.0,10.0
77,1,3000,9,4007,4291,285,1,0.0,0.0,32.0,253.0,0.0,0.0,16.0,84.333333333333329,16.0,16.0,0.0,0.0,16.0,37.0,16.0,16.0,0.0,0.0,1.0,84.480109427538551,1.0,1.0,0.0,0.0,2.0,3.0,2.0,2.0,0.0,0.0,17.0,203.0,17.0,17.0,0.0,0.0,15.0,13.0,15.0,15.0
77,1,3000,10,4292,4425,134,3,0.0,11.0,47.0,76.0,0.0,11.0,47.0,38.0,58.0,58.0,0.0,11.0,47.0,38.0,58.0,58.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,11.0,47.0,46.0,58.0,58.0,0.0,11.0,47.0,30.0,58.0,58.0
77,1,3000,11,4426,4456,31,1,5.0,0.0,0.0,26.0,5.0,0.0,0.0,26.0,5.0,0.0,5.0,0.0,0.0,26.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,5.0,0.0,0.0,26.0,5.0,0.0,5.0,0.0,0.0,26.0,5.0,0.0
77,1,3000,12,4457,4615,159,3,91.0,0.0,0.0,68.0,91.0,0.0,0.0,68.0,91.0,0.0,91.0,0.0,0.0,68.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,91.0,0.0,0.0,68.0,91.0,0.0,91.0,0.0,0.0,68.0,91.0,0.0
77,1,3000,13,4616,4682,67,1,22.0,17.0,0.0,28.0,22.0,17.0,0.0,14.0,39.0,17.0,22.0,17.0,0.0,14.0,39.0,17.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,22.0,17.0,0.0,17.0,39.0,17.0,22.0,17.0,0.0,11.0,39.0,17.0
77,1,3000,14,4683,4708,26,3,0.0,19.0,0.0,7.0,0.0,19.0,0.0,7.0,19.0,19.0,0.0,19.0,0.0,7.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,19.0,0.0,7.0,19.0,19.0,0.0,19.0,0.0,7.0,19.0,19.0
